Unnamed: 0,Fecha,Lugar de,Unnamed: 3,Coordenada,Punto_Muestreo,Punto_Muestreo.1,%,ICA,ICOMI,ICOMO,ICOSUS,ICOpH,Punto_Muestreo.2,ICOTRO,R,Punto de muestreo,Géneros,PIELOU
0,2024-01-01,Golondrinas,,"7.17258, -73.08093",Golondrinas,Golondrinas,86.26633965955439,78.52359613199724,86.16822627965601,75.61065448358463,91.00970500903576,7.449128158420847,Golondrinas,88.42179023665508,0.973882108702059,Golondrinas,Bacillus,0.5845868738380167
1,2024-01-02,Golondrinas,,"7.11235, -73.10692",Golondrinas,Golondrinas,94.32423321093547,90.40166042664003,80.67264398110404,80.77293558498384,82.95393431379539,6.729450545574027,Golondrinas,82.46806152217394,0.5121684707704992,Golondrinas,Enterococcus,0.9150252046783676
2,2024-01-03,Golondrinas,,"7.16066, -73.07309",Golondrinas,Golondrinas,89.88070873149931,91.82913134654795,82.75138187062122,77.50683895817843,70.8531063423773,7.702292712171437,Golondrinas,87.31321035994067,0.5999605985866308,Golondrinas,E.coli,0.856184172314779
3,2024-01-04,Golondrinas,,"7.13014, -73.05833",Golondrinas,Golondrinas,91.87432323532597,87.14297514769018,75.93078229895838,80.06709233094428,93.86927225988175,6.798580859417452,Golondrinas,68.2277477731389,0.5159888470972571,Golondrinas,Enterococcus,0.8381072458454646
4,2024-01-05,Golondrinas,,"7.12733, -73.05534",Golondrinas,Golondrinas,86.10632852267902,83.1440476900315,80.70012364294202,61.394922564353614,84.92607169805589,7.9411259014056155,Golondrinas,61.353423742683724,0.6997914165744874,Golondrinas,Enterococcus,0.8185186053640587
5,2024-01-06,Golondrinas,,"7.14044, -73.09168",Golondrinas,Golondrinas,95.98232418699395,89.18128905126748,76.7484754441956,74.46229027839227,88.81255850338773,8.201999725404733,Golondrinas,74.36261520692756,0.7879349751582854,Golondrinas,Enterococcus,0.7748122690265101
6,2024-01-07,Golondrinas,,"7.12415, -73.04931",Golondrinas,Golondrinas,86.24120090033631,94.34402049335208,88.97027160650914,74.5671848468886,78.41982421296001,7.584407733703114,Golondrinas,67.83250301252491,0.8586699597020702,Golondrinas,Bacillus,0.5166445126124025
7,2024-01-08,Golondrinas,,"7.15362, -73.07783",Golondrinas,Golondrinas,86.37823846526885,79.83732516209022,70.43147290442191,70.11840230586161,79.24676768586113,6.569461030176715,Golondrinas,63.46888916526123,0.5554995110405034,Golondrinas,Pseudomonas,0.7006226426664531
8,2024-01-09,Golondrinas,,"7.13033, -73.09381",Golondrinas,Golondrinas,93.64986016999023,78.72251024727146,87.9143705885539,78.08748220410722,76.71359835485494,8.32396739669286,Golondrinas,60.06986720376123,0.6693084671511021,Golondrinas,Pseudomonas,0.7971325539505856
9,2024-01-10,Golondrinas,,"7.13012, -73.06517",Golondrinas,Golondrinas,85.10353031377561,76.44791684305405,70.13754985063609,81.38514954320993,83.22668565113995,6.778216732987093,Golondrinas,61.725762399160566,0.7381704982805048,Golondrinas,Bacillus,0.7620535425124328
10,2024-01-11,Golondrinas,,"7.14890, -73.07957",Golondrinas,Golondrinas,87.3669474001366,81.68091019870447,67.85914563422233,72.13841389142863,91.25880967610081,7.831083784343366,Golondrinas,60.05310274210479,0.9131209485203368,Golondrinas,Enterococcus,0.7503539185247946
11,2024-01-12,Golondrinas,,"7.15567, -73.05368",Golondrinas,Golondrinas,94.35886745897362,72.39271291764169,68.52017127024004,63.551244063879125,88.31212649351617,7.244853047827872,Golondrinas,67.1620584330068,0.8623874085330391,Golondrinas,Enterococcus,0.5117584261682677
12,2024-01-13,Golondrinas,,"7.13898, -73.08593",Golondrinas,Golondrinas,95.55338725882035,73.72298582151085,80.17496314836701,62.39926640018737,90.82195777533445,6.773919145585016,Golondrinas,77.98439711611849,0.5927630187214417,Golondrinas,E.coli,0.6042588828033458
13,2024-01-14,Golondrinas,,"7.12927, -73.04091",Golondrinas,Golondrinas,94.0975430269618,75.8192722781477,89.69700756485805,73.27729645062043,76.36595251950405,8.43836223291235,Golondrinas,65.09679500962592,0.7555663232832692,Golondrinas,Bacillus,0.7203067027185812
14,2024-01-15,Golondrinas,,"7.14572, -73.06374",Golondrinas,Golondrinas,91.16196317693121,86.63230960321111,88.80804148367763,84.64191178781623,77.32190685774167,7.31575663126285,Golondrinas,61.641567485988354,0.6936403201330376,Golondrinas,Pseudomonas,0.6725185058077361
15,2024-01-16,Golondrinas,,"7.16765, -73.01881",Golondrinas,Golondrinas,98.26734051575698,78.75904281480227,73.77189775925002,69.78482705953547,81.78251354171158,7.680957893391638,Golondrinas,65.52480143495524,0.8365566720839552,Golondrinas,E.coli,0.9189261805719491
16,2024-01-17,Golondrinas,,"7.15221, -73.09797",Golondrinas,Golondrinas,93.49175420525451,96.72259593109939,76.97586937993943,64.39543250234755,77.02776888919966,8.162765776078377,Golondrinas,71.27278410288574,0.7019910219238259,Golondrinas,Pseudomonas,0.5994496360336479
17,2024-01-18,Golondrinas,,"7.13514, -73.07648",Golondrinas,Golondrinas,95.52530066512412,74.46601431501472,67.14226666170994,85.13647377769091,92.46908626642445,8.207318198857047,Golondrinas,81.7440185748683,0.9178330042608214,Golondrinas,Enterococcus,0.5755469093248795
