Fecha,Captacion,Parametro,Valor,Unidad,Fuente,Pagina_PDF
2024-01-01,Golondrinas,ICA,78.52359613199724,Índice,CSV_2024,
2024-01-01,Golondrinas,ICOMI,86.16822627965601,Índice,CSV_2024,
2024-01-01,Golondrinas,ICOMO,75.61065448358463,Índice,CSV_2024,
2024-01-01,Golondrinas,ICOSUS,91.00970500903576,Índice,CSV_2024,
2024-01-01,Golondrinas,ICOpH,7.449128158420847,Índice,CSV_2024,
2024-01-01,Golondrinas,ICOTRO,88.42179023665508,Índice,CSV_2024,
2024-01-02,Golondrinas,ICA,90.40166042664003,Índice,CSV_2024,
2024-01-02,Golondrinas,ICOMI,80.67264398110404,Índice,CSV_2024,
2024-01-02,Golondrinas,ICOMO,80.77293558498384,Índice,CSV_2024,
2024-01-02,Golondrinas,ICOSUS,82.95393431379539,Índice,CSV_2024,
2024-01-02,Golondrinas,ICOpH,6.729450545574027,Índice,CSV_2024,
2024-01-02,Golondrinas,ICOTRO,82.46806152217394,Índice,CSV_2024,
2024-01-03,Golondrinas,ICA,91.82913134654795,Índice,CSV_2024,
2024-01-03,Golondrinas,ICOMI,82.75138187062122,Índice,CSV_2024,
2024-01-03,Golondrinas,ICOMO,77.50683895817843,Índice,CSV_2024,
2024-01-03,Golondrinas,ICOSUS,70.8531063423773,Índice,CSV_2024,
2024-01-03,Golondrinas,ICOpH,7.702292712171437,Índice,CSV_2024,
2024-01-03,Golondrinas,ICOTRO,87.31321035994067,Índice,CSV_2024,
2024-01-04,Golondrinas,ICA,87.14297514769018,Índice,CSV_2024,
2024-01-04,Golondrinas,ICOMI,75.93078229895838,Índice,CSV_2024,
2024-01-04,Golondrinas,ICOMO,80.06709233094428,Índice,CSV_2024,
2024-01-04,Golondrinas,ICOSUS,93.86927225988175,Índice,CSV_2024,
2024-01-04,Golondrinas,ICOpH,6.798580859417452,Índice,CSV_2024,
2024-01-04,Golondrinas,ICOTRO,68.2277477731389,Índice,CSV_2024,
2024-01-05,Golondrinas,ICA,83.1440476900315,Índice,CSV_2024,
2024-01-05,Golondrinas,ICOMI,80.70012364294202,Índice,CSV_2024,
2024-01-05,Golondrinas,ICOMO,61.394922564353614,Índice,CSV_2024,
2024-01-05,Golondrinas,ICOSUS,84.92607169805589,Índice,CSV_2024,
2024-01-05,Golondrinas,ICOpH,7.941125901405615,Índice,CSV_2024,
2024-01-05,Golondrinas,ICOTRO,61.35342374268373,Índice,CSV_2024,
2024-01-06,Golondrinas,ICA,89.18128905126748,Índice,CSV_2024,
2024-01-06,Golondrinas,ICOMI,76.7484754441956,Índice,CSV_2024,
2024-01-06,Golondrinas,ICOMO,74.46229027839227,Índice,CSV_2024,
2024-01-06,Golondrinas,ICOSUS,88.81255850338773,Índice,CSV_2024,
2024-01-06,Golondrinas,ICOpH,8.201999725404733,Índice,CSV_2024,
2024-01-06,Golondrinas,ICOTRO,74.36261520692756,Índice,CSV_2024,
2024-01-07,Golondrinas,ICA,94.34402049335208,Índice,CSV_2024,
2024-01-07,Golondrinas,ICOMI,88.97027160650914,Índice,CSV_2024,
2024-01-07,Golondrinas,ICOMO,74.5671848468886,Índice,CSV_2024,
2024-01-07,Golondrinas,ICOSUS,78.41982421296001,Índice,CSV_2024,
2024-01-07,Golondrinas,ICOpH,7.584407733703114,Índice,CSV_2024,
2024-01-07,Golondrinas,ICOTRO,67.83250301252491,Índice,CSV_2024,
2024-01-08,Golondrinas,ICA,79.83732516209022,Índice,CSV_2024,
2024-01-08,Golondrinas,ICOMI,70.43147290442191,Índice,CSV_2024,
2024-01-08,Golondrinas,ICOMO,70.11840230586161,Índice,CSV_2024,
2024-01-08,Golondrinas,ICOSUS,79.24676768586113,Índice,CSV_2024,
2024-01-08,Golondrinas,ICOpH,6.569461030176715,Índice,CSV_2024,
2024-01-08,Golondrinas,ICOTRO,63.46888916526123,Índice,CSV_2024,
2024-01-09,Golondrinas,ICA,78.72251024727146,Índice,CSV_2024,
2024-01-09,Golondrinas,ICOMI,87.9143705885539,Índice,CSV_2024,
2024-01-09,Golondrinas,ICOMO,78.08748220410722,Índice,CSV_2024,
2024-01-09,Golondrinas,ICOSUS,76.71359835485494,Índice,CSV_2024,
2024-01-09,Golondrinas,ICOpH,8.32396739669286,Índice,CSV_2024,
2024-01-09,Golondrinas,ICOTRO,60.06986720376123,Índice,CSV_2024,
2024-01-10,Golondrinas,ICA,76.44791684305405,Índice,CSV_2024,
2024-01-10,Golondrinas,ICOMI,70.13754985063609,Índice,CSV_2024,
2024-01-10,Golondrinas,ICOMO,81.38514954320993,Índice,CSV_2024,
2024-01-10,Golondrinas,ICOSUS,83.22668565113995,Índice,CSV_2024,
2024-01-10,Golondrinas,ICOpH,6.778216732987093,Índice,CSV_2024,
2024-01-10,Golondrinas,ICOTRO,61.725762399160566,Índice,CSV_2024,
2024-01-11,Golondrinas,ICA,81.68091019870447,Índice,CSV_2024,
2024-01-11,Golondrinas,ICOMI,67.85914563422233,Índice,CSV_2024,
2024-01-11,Golondrinas,ICOMO,72.13841389142863,Índice,CSV_2024,
2024-01-11,Golondrinas,ICOSUS,91.2588096761008,Índice,CSV_2024,
2024-01-11,Golondrinas,ICOpH,7.831083784343366,Índice,CSV_2024,
2024-01-11,Golondrinas,ICOTRO,60.05310274210479,Índice,CSV_2024,
2024-01-12,Golondrinas,ICA,72.39271291764169,Índice,CSV_2024,
2024-01-12,Golondrinas,ICOMI,68.52017127024004,Índice,CSV_2024,
2024-01-12,Golondrinas,ICOMO,63.551244063879125,Índice,CSV_2024,
2024-01-12,Golondrinas,ICOSUS,88.31212649351617,Índice,CSV_2024,
2024-01-12,Golondrinas,ICOpH,7.244853047827872,Índice,CSV_2024,
2024-01-12,Golondrinas,ICOTRO,67.1620584330068,Índice,CSV_2024,
2024-01-13,Golondrinas,ICA,73.72298582151085,Índice,CSV_2024,
2024-01-13,Golondrinas,ICOMI,80.17496314836701,Índice,CSV_2024,
2024-01-13,Golondrinas,ICOMO,62.39926640018737,Índice,CSV_2024,
2024-01-13,Golondrinas,ICOSUS,90.82195777533444,Índice,CSV_2024,
2024-01-13,Golondrinas,ICOpH,6.773919145585016,Índice,CSV_2024,
2024-01-13,Golondrinas,ICOTRO,77.98439711611849,Índice,CSV_2024,
2024-01-14,Golondrinas,ICA,75.8192722781477,Índice,CSV_2024,
2024-01-14,Golondrinas,ICOMI,89.69700756485805,Índice,CSV_2024,
